form	sense	year	origin	Loan
kontinens	Festland, Kontinent	1608.0		False
kontó ∆	Konto,  Schuldbetrag, Kredit	1522.0	German	True
kontra	Kontrolleur, Aufseher im Internat,  Gegenansage 〈beim Kartenspiel〉,  Begleitstimme,  Art Reihentanz,  Gegenschlag, -angriff 〈im Sport〉,  Rücktrittbremse 〈am Fahrrad〉,  gegen, wider	1338.0		False
kontráz	widersprechen,  jm Worte bekräftigen, überbieten,  Kontra ansagen 〈beim Kartenspiel〉,  Gegenangriff durchführen 〈im Sport〉,  Begleitmelodie singen, spielen,  die Rücktrittbremse betätigen	1585.0	Latin	True
kontraszt	starker Gegensatz, auffallender Unterschied	1789.0	international word	True
kontroll	Kontrolle	1794.0		False
kontúr	Umriß	1793.0	international word	True
konty	Frauenkopfputz, Haube,  Haarknoten,  Kopf, haupts als Sinnbild des Menschen,  Turban,  Schopf des Vogels,  Spitze einer Hütte, Walm	1395.0	uncertain	False
konvenció	Übereinkunft, Vereinbarung, Zahlungsabmachung,  Gedinge, Naturalbezüge,  Zivilliste,  Regel, gesellschaftlicher Brauch	1588.0		False
konvent	Versammlung von Ordensleuten bzw Priestern, Stift,  glaubwürdiger Ort,  Urkunperson des beglaubigten Ortes,  revolutionäre Volksvertretung in Frankreich 1792—5	1372.0	Latin	True
konviktus ∆	Stiftsschule mit Internat, Speisestätte für Schüler,  katholisches Priesterseminar,	1639.0		False
konvoj	Fahrzeugkolonne 〈evtl unter Geleitschutz〉	1846.0	international word	True
konzekvencia	Folge,  Folgerung,  Folgerichtigkeit	1575.0		False
konzekvens	folgerichtig	1807.0	Latin	True
konzervál	bewahren,  haltbar machen 〈haupts Lebensmittel〉	1622.0		False
konzervatív	konservativ,  Konservative	1843.0		False
konzervatórium	Archiv,  Konservatorium	1644.0	German	True
konzílium	Beratung,  Rat,  Beratung mehrerer Arzte	1619.0	Latin	True
konzul	Statthalter, höchster Beamter 〈im altrömischen Reich〉,  Vertreter eines Staates 〈im diplomatischen Bereicht〉	1533.0		False
konzultál	beratschlagen, um Rat fragen	1581.0		False
konya ×	herabhängend, sich abwärts biegend, schlappohrig	1333.0		False
konyak	Weinbrand	1815.0	international word	True
konyha	Feuerstelle, Herd,  Küche 〈Raum〉,  Kochkunst,  Raum, in dem man wäscht, sich mit der Chemie beschäftigt usw	1206.0		False
kopács ×	grüne Schale der Kastanie, der Nuß und entspr Teil der Kapselfrucht,  rinde,  ausschälen	1604.0	derived word	False
kopáncs ×	Specht	1212.0	internal	False
kopár	haarlos,  ohne Pflanzenwuchs, ohne Blätter,  hungrig,  mager,  kahler Ort, unfruchtbare Gegend	1418.0		False
kopasz	haarlos, kahlgeschoren,  ohne Pflanzenwuchs,  haarlos 〈Obst, Pflanze〉, blätterlos,  abgewetzt,  leer 〈Entschuldigung〉,  gemütlos,  Haarausfall,  Mensch mit Glatze,  kahler Ort, Wüste, unfruchtbare Gegend,  Kahlkopf,  Rekrut,  kahl werden 〈haupts Ort〉,  kahler Ort	1292.0		False
kópé	Schelm, Schalk, mutwilliges Kind	1792.0	unknown	False
kopek	Kopeke	1757.0	Wanderwort	True
koperta ∆	Briefumschlag	1661.0	Latin	True
kópia	Kopie	1607.0	Latin	True
kopik	abgewetzt, abgenutzt werden, sich abtragen, sici abwetzen,  verdrängt werden	1404.0	onomatopoetic	False
kopíroz	nachbilden 〈Kunstwerk〉,  plagiieren, nachahmen,  getreu darstellen, wiedergeben	1789.0	German	True
kopja	Lanze, Speer, Spieß,  stelenartiges Grabmal aus Holz,	1464.0	Slavic	True
koplal	hungern, fasten	1530.0	derived word	False
kopó	Art Jagdhund, Spürhund,  Scherge, Profoß,  Geheimpolizist	1422.0	derived word	False
kopoltyú	Kieme	1395.0	derived word	False
kopolya ×	nicht ausgekleideter Brunnen,  häufig auch Wasser od Schlamm enthaltende Grube	1341.0	unknown	False
koponya	Schöpfgefäß, Kelle,  Totenkopf,  Schädel,  Flaschenkürbis, Kürbisfla-sche,  Mensch mit unschönem Kopf,  Vernunft, Verstand, ein guter Kopf 〈kluger Mensch〉	1287.0	Slavic	True
koporsó	Grab,  Sarg,  Grab, Tod 〈sybolischer Gegensatz zur Wiege〉	1372.0	Chuvash	True
koppant	schnappen,  putzen 〈Licht〉, schneuzen 〈Kerze〉,  knallen lassen, an etw einmal klopfen, auf etw klopfen	1561.0		False
kor	gewisses Alter 〈des Menschen〉, Lebensalter,  Zeit,  Zeitalter,  Dauer eines Zustandes,  gleichaltrig, gleichjährig	1057.0	Turkic	True
kór	krank,  kranker Mensch,  Krankheit, Leiden,  Krankheit,  krank werden	1405.0	Slavic	True
akkora	so groß 〈wie das dort〉,  so alt	1577.0		False
ekkora	so groß 〈wie das hier〉	1587.0		False
mekkora	wie groß?,   wie	1585.0		False
korall	Koralle	1533.0		False
korán¹	Koran	1787.0	international word	True
korán²	früh,  vorzeitig,  vorher,  frühzeitig, früh,  zur rechten Zeit	1697.0		False
korántsem	bei weitem nicht, durchaus nicht	1594.0		False
kórász  ×	nachspüren, forschen,  sich herumtreiben,  im Obstgarten Nachlese halten	1513.0		False
korbács	Riemenpeitsche,  Peitschen	1585.0	Ottoman-Turkic	True
korc ×	Trägerteil an Frauenkleidung,  geflochtene Querbindung eines Schilfzauns od Rutenwerks,  Einsäumung des Stroh- od Schilfdaches am Grat, Hohlziegel auf der Dachkante,  oberer eingefaßter Rand von Hosen, Röcken usw, Bund	1730.0		False
korcovát ∆	Art Jacke, Wams, ein über dem Brustharnisch getragenes Kleidungsstück,  Art gezierter Oberteil eines Frauenkleides,  Schürze, Schürzenband	1395.0	Wanderwort	True
korcs	entartetes Geschöpf, Nachtrieb,  Mischling 〈Tier〉,  Lump, Zechbruder,  Bastard,  entartet, ausgeartet,  von Eltern versch Rassen abstammend,  verlumpt, ausschweifend,  entartet	1358.0	uncertain	False
korcsolya	Schrotbaum, Schrotleiter zum Fortrollen von Fässern,  Schlitten,  Schlittschuh,  Speise, die zum Weintrinken reizt,  Schlittschuhlaufen,  einer, der Weinfässer  rollt,  Weinfässer rollen,  Schlittschuh laufen	1339.0	Italian	True
kord	gerippter Stoff	1915.0	German	True
korda †	Seil, Strick, Schnur,  Peitsche	1372.0	Latin	True
kordé¹	Karren	1808.0		False
kordén ∆	aus dem Kopf, auswendig,  nachlässig, unbeaufsichtigt	1517.0		False
kordon	Postenkette, Sperrkette,  Schnur	1757.0	international word	True
kordován	feines Ziegen- od Schafleder	1275.0	Wanderwort	True
kordul	einmal knurren, zu knurren anfangen	1577.0		False
korec ×	ein viertel od sechstel Kübel 〈Hohlmaß〉,  drei Kübel 〈Hohlmaß〉,  Preßburger Metze 〈Hohlmaß〉,  Scheffel,  Getreideabgabe für Priester und Lehrer	1507.0	Slavic	True
korhad	morsch werden, verfaulen	1595.0		False
korhaszt	morsch machen	1836.0	derived word	False
korhely	Zechbruder,  Müßiggänger, Tagedieb,	1578.0	loan	True
korhol¹	rügen, tadeln	1290.0		False
koriander	Koriander 	1533.0	Wanderwort	True
korifeus	führende Persönlichkeif,  Rädelsführer	1619.0	Latin	True
korlát	umzäunter Ort, Pferch,  Schranke, Geländer,  Gitter,  Schranken setzender Umstand, Faktor,  Stab, Stange,  Barren 〈Turngerät〉,  eingeschränkt, begrenzt,  borniert	1324.0	unknown	False
kormány	Steuer, Lenkvorrichtung,  Herrschaft, Macht,  Regierung 〈als Kabinett〉,  Streichblech,   regieren,   lenken,  Gutsverwalter,  Gouverneur	1323.0	Slavic	True
kormorán	Kormoran	1793.0	international word	True
kornéta ∆	Reiterstandarte,  Eskadron,  Art Haube	1493.0	Wanderwort	True
kornyadoz ×	kränkeln, siechen	1560.0		False
kornyikál	grölen, leiern,  kreischen, schwatzen,  plärren	1559.0	onomatopoetic	False
kóró	dürrer Stengel der ein- und zweijährigen Pflanzen,  alter magerer Mensch	1200.0	Chuvash	True
koroglya ∆	Büchse 〈ür Arznei, Salbe und andere Zwecke〉	1604.0	Croatian or Serbian	True
korom	Ruß,  Schmutz 〈abstr〉,  Schwärze, Dunkel,  Art Pflanzenkrankheif,  schwarz	1211.0	Turkic	True
korona	Königskrone,  Höhepunkt, Krönung,  Währungseinheit, Münzensorte,  Versammlung von Priestern, Gemeinde,  Oberteil versch Gegenstände,  Herrschergewalt,  Strahlenkranz der Sonne usw,  Zahnkrone	1416.0	Latin	True
koronatanú	Kronzeuge	1874.0	German	True
korong	runder Wald,  Art Wasserrad,  Töpferscheibe,  Scheibe,  Scheibe 〈im Eishockey〉,  auf der Töpferscheibe formen,  auf der Töpferscheibe formen,  Eishockey spielen	1274.0	Slavic	True
korontár ∆	Kärntner,  aus Kärnten stammend	1345.0	loan	True
korozsma ×	Kleidungsstück als Taufgeschenk,  Speise für die Wöchnerin	1527.0	Latin	True
korpa	Kleie,  Schuppen auf der Kopfhaut,  Geld	1138.0	Slavic	True
korrekt	korrekt	1698.0	Latin	True
korrepetitor	Privatlehrer,  Korrepetitor	1789.0		False
korridor ∆	Geländer,  Flurgang,  Korridor 〈im geogr und polit Sinn〉	1834.0	international word	True
korrigál	 in verbessernder Absicht ändern, richtigstellen,   ausbessern, Korrekturen machen	1578.0		False
korrumpál	sittlich verderben,  verunreinigen, infizieren,  bestechen	1589.0		False
korrupt	sittlich verderbt, bestechlich	1865.0	Latin	True
korsó	Krug	1344.0	uncertain	False
kortány †	Art Geschütz mit kurzem Rohr	1723.0	loan	True
kortes	spanische Stände, Volksvertretung in Spanien,  Wähler,  Parteiwerber, Stimmenwerber,	1750.0	German	True
kortyant	einen Schluck tun	1548.0		False
kórus	Sängerchor,  Menschengruppe, Schar von Tanzenden,  Kirchenempore,  Musikstück für Chorgesang	1560.0	Latin	True
korvett	Korvette	1806.0	international word	True
korvina	Bibliothek des ungarischen Königs Matthias I. Corvinus,  Buch aus dieser Bibliothek	1891.0	internal	False
korzó	Spaziergang auf der Straße, Schaufahr,  Wandelanlage	1792.0	German	True
kos	Widder,  Rammbock, Sturmbock,  Holzschraube der Kelter	1061.0	Turkic	True
kosár¹ ×	Pferch, Schafhürde,  Maisscheuer aus Flechtwerk,  Dünger	1313.0	Wanderwort	True
kosár²	Korb,  Bienenkorb,  Korb für Geflügel,  Fischreuse,  Säbelkorb,  Wagenkorb,  Treffer im Basketball,  Basketball,  Basketballspieler	1395.0	Slavic	True
kosbor	Knabenkraut 	1585.0	unknown	False
kóser	den jüdischen Speisegesetzen entsprechend, diese Gesetze einhaltend 〈Person〉,  ehrlich, unverdächtig 〈Person〉, richtig, zuverlässig 〈Sache, Angelegenheit〉,  nach den jüdischen Speisegesetzen erlaubte Speise od solches Getränk	1727.0	Yiddish	True
koslat	in Brunst sein 〈Tier〉,  herumstreifen, herumgehen,  sich begatten 〈Tier〉,  vom Geschlechtstrieb getrieben herumgehen 〈Mensch〉	1560.0	uncertain	False
kóstál	kosten, wert sein	1844.0	loan	True
kóstol	prüfend schmecken,  probieren, kennenlernen,  Schmecker,  Kostprobe 〈haupts nach dem Schlachtfes〉	1416.0	loan	True
kosz	Krätze,  Schmutz	1389.0	uncertain	False
kósza	herumstreichend, vagabundierend,  vag 〈Gerücht, Hörensagen〉,  arbeitsscheu	1522.0		False
koszmó	Kopfgrind,  Schmutz	1346.0	internal	False
koszorú	Kranz,  Rosenkranz,  Gesellschaft,  Kranzleiste,  kreisförmiger Einschnitt am Baumstamm,  Krone 〈Bot〉	1323.0	derived word	False
koszperd ∆	Art Schwert	1604.0	German	True
koszt	Ausgaben, Spesen,  Speise, Verpflegung,  Futter,  Reportgeschäft	1525.0		False
koszta ×	Storch	1708.0	unknown	False
kosztüm	Kleidung,  Gewohnheit, Brauch,  historische Tracht,  Jackenkleid für Damen	1789.0	international word	True
kotec ×	Stall, Käfig,  Hütte,  Scheune,  Gefängnis,  Postkasten	1713.0	Romanian	True
kóter ×	Schlafkammer,  Arrestlokal, Gefängnis,  käfig,  Holzschuppen	1720.0	loan	True
kotlik	glucken 〈Henne〉,  brüten 〈auch abstr〉,  sich versitzen,  Glucke	1590.0	onomatopoetic	False
kotnyeles	schwatzhaft, großsprecherisch,  schmeichlerisch,  naseweis, vorwitzig,  naschhaft, topfguckerisch	1635.0	compound	False
koton ∆	Kondom	1912.0	loan	True
kotonoz ×	auf und ab gehen,  von Lebensmitteln naschen,  herumsuchen, nachforschen,  geschäftig sein	1786.0	derived word	False
kotor	scharren, herumwühlen, graben,  herausbekommen, herauskriegen,  zusammenscharren,  sich fortpacken,  schlagen, prügeln,  streifend öfters berühren, kehren,  kratzen	1396.0	derived word	False
kotorgárt †	schild	1395.0	loan	True
kotta	Ziffer,  Tonzeichen, Note, rhythmische Einheit in der quanti-tierenden Metrik,  Melodie,  Notenbuch, Notenblatt	1538.0	Latin	True
kotú ×	Grube in Weihern, Grube,  verfaulte Pflanzenreste auf der Wiese, Rohrstoppel,  Suhle, Sumpf	1408.0	internal	False
kótyagos	berauscht, beschwipst, betäubt,  närrisch, übergeschnappt,  ermattet, schwächlich	1613.0	derived word	False
kótyavetye ×	Versteigerung	1540.0		False
kotyog	schwatzen,  glucken 〈Flasche〉, locker sein,  glucken 〈Henne〉,  rasseln, klappern, ticken,  enghalsige Flasche	1474.0		False
kótyomfitty ×	Nichtigkeit, Nichts,  nichtswürdiger Mensch,  Schneller mit dem Finger,  nichtswürdig, nichtsnutzig,  halbverrückt, einfaltig	1578.0		False
kotyor ×	Gestrüpp,  nasser, feuchter Platz,  Grube, Graben	1792.0	uncertain	False
kotyval ×	gierig essen, fressen, schlürfen, saufen,  panschen, vermischen,  trübes Gekoch, Getränk, Gemisch 〈auch abstr〉	1649.0		False
kova	Feuerstein	1138.0	uncertain	False
kovács	Schmied	1193.0	Slavic	True
kovákol ×	weinen, brüllen,  quaken	1585.0	onomatopoetic	False
kóvál ×	herumstreichen, schweifen	1566.0		False
kóvályog	schweifen, herumirren,  herumfliegen, wirbeln, sich ballen,  Schwindel haben, einem übel sein	1577.0	derived word	False
kovász	Sauerteig,  Gärungsmittel 〈abstr〉,  ungeformte Sache,  säuert werden	1244.0	Slavic	True
kozák	Kosak,  Art Tanz	1530.0	Ukranian	True
kozma	Anbrand, Angebranntes,  Brandgeruch einer Speise, ranziger Geschmack	1881.0	Turkic	True
kozmetika	Schönheitsmittel,  Kosmetik,  verbesserungswillig umgestalten,  verschönernd verfälschen 〈abstr〉	1854.0		False
iskozmopolita	Weltbürger,  weltbürgerlich,  weltweit verbreitet 〈Tier-, Pflanzenart〉	1789.0		False
kozmosz	Kosmos	1865.0		False
kozsók ×	Pelz-jacke aus Schaffell,  prügeln	1244.0		False
kozsuska †	Art Halbpelz	1551.0	Slavic	True
kő	Stein,  Edelstein,  Gewicht, Gewichtsmaß,  Stein 〈Med〉,  Blitz,  Hagel, Steinhagel,  steinigen,  pflastern	1055.0	Proto-Finno-Ugric	False
hüvelyk ∆	Kubikzoll	1784.0		False
köböl	hölzerne Fassung der Grube eines Brunnens od einer Quelle, Brunnenkranz,  Art Hohlmaß unterschiedlicher Größe bzw ein Holzgefäß von dieser Größe,  Art Flächenmaß,  Ackerstück, worauf eine Metze Getreide gesät wird köböl magot szoktak vetni	1193.0		False
köcsög	bauchiger Topf	1750.0	Proto-Uralic	False
köd	Wolke,  Nebel,  Dunkel,  Ungewißheit, Unklarheit 〈abstr〉,  nebelig,  unklar 〈abstr〉,  bemänteln, vernebeln 〈abstr〉	1405.0	Proto-Uralic	False
ködmön	Art Pelzjakke	1317.0	Chuvash	True
kög ∆	Kreis,  Ring, Reifen,  Kampfplatz, Tummelplatz,  Mittelpunkt, Zentrum	1585.0	misspelling	False
köhög	husten,  unregelmäßig arbeiten 〈Maschine〉	1552.0		False
kökény	Schlehdorn	1184.0	Turkic	True
kökörcsin	Kuhschelle 〈Pflanze〉 	1395.0	Turkic	True
kölcsön	leihweise,  gegenseitig,  geliehen, geborgt,  Darlehen, Anleihe,  Staatsanleihe,  Verleiher,  geliehen,  gegenseitig	1416.0	Turkic	True
köldök	Nabel,  Knopf auf der Bischofsmütze,  Abhängsei 〈in der Baukunst〉,  Pflugsohle,  Nabel des Pflanzensamens, Hilum,  Art Verbindungsteil, Mittelteil	1405.0	Turkic	True
köles	Hirse	1138.0	Proto-Ugric	False
kölni	Kölnischwasser	1957.0	lexicalized internal development	False
kölönc	an etw angehängter Klotz,  uneheliches Kind, Kerl,  Last, Anhängsel,  Kind	1783.0	vowel harmony alteration	False
kölönte ×	Groppe 〈Art Fisch〉 	1577.0	unknown	False
költ¹	verbringen 〈Zeit〉,  ausgeben 〈Geld〉,  verzehren, verspeisen,  verbrauchen,  Kosten,  ausgeben 〈Geld〉	1372.0	derived word	False
költ²	verbreiten, umherbringen 〈Gerüchte〉,  erdichten, ersinnen 〈pejor〉,  verfassen, dichten,  Dichter,  erfunden,  Erfindung,  Gedicht	1395.0	derived word	False
költözik	fortziehen,  über einen Fluß hinübersetzen,  jmdn überkommen, sich verwandeln 〈Stimmung, Gefühl〉	1515.0	derived word	False
kölyök	Junge, Welpe,  Bengel, Grünschnabel,	1165.0	Chuvash	True
kölyű ×	Stampfmühle, Mörser,  Stößel	1305.0		False
kömény	Kümmel	1405.0	Wanderwort	True
kőműves	Steinmetz,  Maurer,  Freimaurer	1395.0	compound	False
könting ∆	Art altes Gewichtsmaß	1644.0	loan	True
köntörfarol ×	um die Sache herumreden,  herumschleichen, sich herumdrücken, mit dem Hinterteil zur Seite treten	1796.0		False
köntörfalaz	um die Sache herumreden	1840.0	compound	False
köntös	Oberkleid, breiter Umhang,  priesterrockartiges Frauenkleid,  Morgenrock,  Frauenrock,  Art Kinderkleid	1372.0	uncertain	False
könny	Träne,  Träne	1211.0	Proto-Uralic	False
könnyelmű	leichtsinnig	1813.0	internal	False
könnyű	schnell, geschickt, graziös 〈Bewegung〉, sich schnell, geschickt, graziös bewegend 〈Person〉,  leicht,  sorgenlos, frei von Übel, Leiden,  mühelos, nicht anstrengend,  unbeständig, leichtsinnig,  zart, sanft,  dünn, fein, luftig 〈Leder, Kleidungsstück, Kleidung〉,  leicht verdaulich, nicht konzentriert 〈Spirituosen〉,  unterhaltend 〈Lektüre〉,  leichter werden	1211.0	Proto-Ugric	False
könyök	Biegung, Kniestück, Winkelstück,  Ellbogenteil einer Kleidung, Panzerung,  Ellbogen,  Elle 〈als Lägenmaß〉,  Art Liege,  Art Brüstung, Armstütze,  Ellbogen,  eine Elle lang	1246.0	Proto-Ugric	False
könyörül	sich erbarmen, bemitleiden, sich aus Erbarmen jm annehmen,  vergeben, begnadigen,  schonen,  aussöhnen, erbitten	1372.0		False
könyv	Buch	1282.0	Wanderwort	True
könyvmoly	Bücherwurm 〈abstr〉	1840.0	German	True
kőolaj	Erdöl	1708.0	Latin	True
köp	spucken,  heraussagen, Angaben usw schnell, fließend hersagen,  ein Geständnis ablegen, gestehen,  mehrmals spucken,  Spucke, Auswurf	1416.0		False
köpcös	untersetzt, gedrungen 〈Wuchs〉	1509.0	derived word	False
krepp	Kreppgewebe	1818.0	international word	True
kréta	Kreide	1877.0	Latin	True
kretén	mißgestalteter Schwachsinniger, oft mit einem Kropf,  Idiot	1818.0	international word	True
krigli	Bierkrug 〈für ein halbes Liter〉	1871.0		False
krikszkraksz	Kritzelei,  Sprachschnitzer, wirres Geschwätz,	1848.0	German	True
kriminális	Leib und Leben betreffend, kriminell, verbrecherisch, strafrechtlich,  elend, miserabel	1588.0		False
kriminalista	Strafrechtslehrer,  Kriminalbeamter, Detektiv	1865.0		False
krinolin¹ ∆	Krinoline	1840.0	international word	True
krinolin²	Art Wursf	1953.0	internal	False
kripta	Gruftkapelle,  gruft	1692.0	Latin	True
kristály	kristall,  Kristallglas, Bleiglas	1416.0	Wanderwort	True
kritérium	Kriterium	1717.0	Latin	True
kritikus	Kritiker,  prüfend, kritisch,  entscheidend, bedrohlich	1720.0		False
iskrizantém	Chrysantheme 	1806.0	Latin	True
krízis	Kritik,  krisenhafter Zustand, Krisis	1741.0	Latin	True
krizma ∆	Salböl	1510.0	Latin	True
kroki	literarische Skizze 〈es in der Journalistik〉,  flüchtige Skizze, Geländeskizze	1844.0	German	True
krokodil	Krokodil	1578.0	Latin	True
krokodilkönnyek	Krokodilstränen,	1804.0	compound	False
króm	Chrom	1802.0	international word	True
krónika	Chronik, Jahrbuch,  Bericht, Nachricht,  Chronist	1517.0	Latin	True
krónikus	chronisch	1796.0	Latin	True
krúkog ∆	krähen 〈Kranich〉	1702.0		False
krumpli	Kartoffel,  schlecht gehende Uhr	1768.0	loan	True
kruspán ×	Buchsbaum	1662.0	Slovakian	True
kubik ∆	dritte Potenz,  bei der Erdarbeit ausgehöhlte Grube,  Erdarbeit	1789.0		False
kuburc ×	wässeriger Schlamm,  durch Schlurfen entstandenes Geräusch	1645.0		False
kuckó	Feuerstätte, Herd,  Ofenwinkel, Ofenbank, Winkel, Ecke,  Arrestlokal	1604.0	loan	True
kucorog	kauern, sich ducken,  flehen, betteln,  armselig leben, darben	1645.0		False
kucséber ∆	Hausierer, der vorwiegend Südfrüchte, Spielzeuge usw verkauft	1648.0	loan	True
kucsma	Pelzmütze,  Filzhut	1682.0	Slavic	True
kudarc	Mißerfolg, Schlappe	1575.0		False
kúf †	Maßeinheit für  Salz, Salzgefäß von entsprechendem Hohlmaß,  auf eine gewisse Art behandeltes und aus Osterreich eingeführtes Salz,  kleineres Faß 〈auch als Hohlmaß〉	1544.0		False
kufár ∆	Krämer, Höker, Gewinnler	1523.0		False
kugli	Kugel,  Kegelschieben,  Kegelbahn	1643.0	loan	True
kuglóf	Gugelhupf 〈Art Napfkuchen〉	1835.0	loan	True
kuhi †	Schande, Blamage, Anerkennen eines Fiaskos, Verzicht	1591.0		False
kujak ×	Faust	1708.0	Slavic	True
kujon ∆	Gauner, Schurke,  Schelm	1755.0	Wanderwort	True
kujtorog ×	herumstreichen,  darben, armselig leben	1786.0	derived word	False
kuka¹	blöd, einfältig,  stumm, taub, taubstumm,  stammelnd, stotternd	1198.0	uncertain	False
kuka² ×	Haken zu versch Zwecken	1795.0	Croatian or Serbian	True
kuka³	Art geruchloser und staubfreier Müllwagen,  Mülltonne zu einem solchen Müllwagen,  Müllmann	1958.0		False
kukac	Made,  verachtenswerter Mensch, schmächtiges Menschchen,  Penis eines kleinen Jungen, Piephahn,  Regenwurm	1713.0	Croatian or Serbian	True
kukk¹ ×	Art Ballspiel,  in die Höhe	1649.0		False
kukker ∆	Fernglas	1803.0	German	True
kukó ×	Leibesfrucht,  Ei,  Art Eierspeise,  Lockei	1774.0	loan	True
kukora ×	krumm, gebogen, solche Hörner habend〈Rindvieh〉,  kraus,  kugelrund, walzig,  spill, Winde,  krummes, gebogenes Horn	1685.0		False
kukorica	Mais,  Maisfeld,  verspotten,  Ausflüchte machen,  spaßen, mit jmdm herumspringen	1691.0	Wanderwort	True
kukorít ×	einmal krähen 〈Hahn〉	1566.0		False
kukrejt †	Küchenkräuter bzw die mit ihnen zubereitete Soße	1527.0	loan	True
kuksol	hocken, kauern,  sich ducken, zu Hause sitzen	1803.0	derived word	False
kukta	Küchenjunge,  Topfgucker,  Schnellkochtopf	1641.0	Slovakian	True
kukucsol	gucken	1566.0		False
kulacs	Holzflasche, Feldflasche	1735.0	Slavic	True
kulák ∆	Großbauer	1926.0	Russian	True
kulán †	Sattelgurt	1552.0		False
kulcs	Schlüssel,  Lösung, Erklärung,  Art Gerät: Schraubenschlüssel, Klavierschlüssel usw,  beherrschende Stelle, Schlüsselpunkt,  Zeichen zur Bestimmung der Tonhöhe,  Schlüsselbein,  Proportion der Bezahlung, Verteilung usw	1015.0	Slavic	True
kulcsár ∆	Aufseher über die Haushaltsvorräte,  Munchenk,  Verwalter, Kassenwart	1361.0	Slavic	True
kulcscsont	Schlüsselbein	1782.0	German	True
kulcsol	flechten, falten	1372.0	Slavic	True
kuli	Angehöriger eines im Westen Indiens lebenden Volksstammes,  Lastträger, Tagelöhner in Ostasien,  schlecht bezahlter und ausgenutzter Angestellter,  Kulijacke	1852.0	international word	True
kulimász	Wagenschmiere,  Salbe als Heil- od Schönnheitsmittel,  matschiger Lehm als Mörtel und Wandputz, klebriger Schmutz,  Patsche, Schlamassel	1564.0	Slavic	True
kulináris	salopp, küchensprachlich 〈haupts im Gebrauch einer Frempr〉, ordinär, derb 〈Geschmack, Stil〉,  Küchen-, die Küche betreffend,  feinschmeckerisch,  das Speisen betreffend	1788.0		False
kulipintyó	armselige Hütte	1875.0	internal	False
kulissza	Schiebewand auf der Bühne,  Steuerungsteil der Dampfmaschine	1793.0	international word	True
kullancs	Zecke,  Schaflaus,  anhaftende Frucht der Klette,  zudringliche Person, die an einem wie eine Klette hängt,	1565.0	unknown	False
kullog	trotten, zotteln,  jmdn um etw angehen,  nachhinken, zurückbleiben,  herumschlendern	1518.0		False
kultúra	Anbau , Pflanzenzucht 〈Tätigkeit bzw Fläche〉,  Bildung, Kultur,  kultur	1700.0		False
kultusz	Gottesdienst, Ausübung der Religion,  abgöttische Verehrung	1693.0	Latin	True
kumet ×	Kummet	1668.0	loan	True
kumisz	Kumyß	1851.0	international word	True
kun	Kumane,  Angehöriger einer ung ethnographischen Gruppe,  auf die ungarländischen Kumanen und — später — auf eine ung ethnographische Gruppe bezüglich	1138.0	Turkic	True
kuna ×	Marderfell als Art Steuer,  Marder	1086.0	Slavic	True
kuncog	flehen, betteln,  heimlich und verbissen lachen, kichern,  grunzen	1767.0	onomatopoetic	False
kuncsaft	Kunde	1798.0	German	True
kuncsorog ×	herumstehen, herumgaffen,  flehentlich bitten,  sich krümmen, sich zusammenrollen,  herumstreichen,  kauern, sich ducken,  armselig leben, darben	1791.0		False
kuncsog ×	flehentlich bitten,  herumstehen, herumgaffen	1792.0	derived word	False
kunszt	Zeichenmuster aus Papier,  Kunstgriff,  Pumpwerk zum Heben des Grubenwassers	1644.0	loan	True
kunyerál	nachlaufen, folgen,  flehentlich bitten, betteln	1589.0		False
kunyhó	elendes Häuschen, Hütte,  Studier- und Schlafzimmer für 6—8 Schüler,	1565.0	uncertain	False
kúp	Haufen bzw die Spitze eines Haufens od eines Gegenstandes,  Kegel, Konus,  Kuppel,  Deckel,  Zäpfchen, Suppositorium	1713.0	Croatian or Serbian	True
kupa¹	Becher, Pokal,  Kufe, Tonne,  Achtel 〈Hohlmaß〉,  Schöpfgefäß	1229.0	loan	True
kupa²	Nakken, Hinterkopf,  Kopf	1797.0	loan	True
kupac	Haufen, Stoß	1791.0	Croatian or Serbian	True
kupak	Mohnkopf,  Haube, Kappe,  deckel	1774.0	uncertain	False
kupaktanács	Kollegium, Ausschuß 〈scherzhaft od pejor〉	1805.0	compound	False
kupás ×	mit Hohl- od Nonnenziegel versehen, halbzylinderförmig 〈Hohlbzw Nonnenziegel〉,  Hohl- od Nonnenziegel, Firstziegel	1637.0	Croatian or Serbian	True
kupé	Wagenabteil	1831.0	international word	True
kupec	Schlaukopf, Betrüger, Schacherer,  Wanderhändler, Marktfahrer, Viehhändler, bes Roßtäuscher	1786.0	Slovakian	True
kupica	kleines Trinkglas,  Schnapsgläschen	1725.0	Croatian or Serbian	True
kuplé	Couplet	1824.0		False
kupler ∆	Kuppler	1710.0		False
kuplung	Kupplung 〈zwischen Motor und Getriebe〉	1939.0	German	True
kupola	Kuppel	1802.0	international word	True
kuporít †	erhaschen, zusammenscharren	1561.0		False
kuporodik	zusammenschrumpfen,  kauern, sich dukken,  niederkauern	1655.0		False
kuracin †	Brustharnisch, mellvért, páncél, pajzs 〈bőrből, acélból〉,	1198.0		False
kurafi ∆	Hurensohn, Hurenkind,  Hurer,  Hurensohn, Hurenkind	1488.0	compound	False
kúrál	heilen, gesund machen	1550.0		False
kurátor	Beauftragter, Verwalter 〈einer Stiftung〉	1602.0		False
