ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	MEANING	SENSE	SENSE_ID
1847	2981	ITEM	objektum	 Sache; Gegenstand;   Bauobjekt	Gegenstand	Gegenstand-5
1852	2036	JANUARY	január	Januar	Januar	Januar-1
1856	2524	JOY	öröm	Freude	Freude	Freude-1
1857	2524	JOY	víg	lustig;   Freude;   lustig sein;  sich freuen;   sich trösten;   Trost;   Lustbarkeit	  Freude	Freude-2
1858	2850	JULY	július	Juli	Juli	Juli-1
1861	1829	JUMP	ugrik	  necken;   hüpfen;   sich wichtig machen;   bespringen;   entfliehen; einen Sprung machen;   springen 〈Funke〉;   austreten 〈aus dem Mönchsorden〉;   auf etw hereinfallen;   einspringen;   sich erzürnen;   anspringen 〈Motor〉;   draufgehen 〈Geld〉;   springen lassen	  hüpfen	hupfen-3
1867	2849	JUNE	június	Juni	Juni	Juni-1
1868	1477	KEEP	tart	 behaupten;   aushalten;   anhalten;   Träger;  stützen;  hindern;   hin-;  benützen;  versorgen;    sein;  her-;  befestigen;   fassen;  Wette〉;  bewirten;  halten;  halten;  verrichten;   für etw halten;   verbinden;  Pflicht;   sich widersetzen;   beanspruchen;   unterhalten;  Reserve;  einschätzen;  erleiden;  amten;   bei sich behalten;  aufbewahren;  aufbewahren;  in Erinnerung behalten usw;   sich an etw halten od nach etw richten;   jmdm einen Zustand sichern;  etw irgendwo lagern;   zur Lagerung dienen;   vollführen;  veranstalten;  vorhalten 〈wenden;  zeigen usw〉;   es mit jmdm halten;  zu etw gehören;   nach od in Richtung auf etw gehen;  fahren usw;  bis od an etw gelangt sein;   in Dienst halten;  züchten;   sich enthalten;  sich einer Sache enthalten;   sich bis etw erstrecken;  bis etw dauern;  dauern;   fürchten;  in Ehren halten;   zu bleiben anhalten;  verpflichten 〈Schwur;   im Auge behalten;  ausdauern;   Haltender;  Tragender;  Halterung;   Beobachtung;   Behinderung;   Ersatz	 aufbewahren	aufbewahren-1
1872	854	KETTLE	kazán	  Dampfkessel;   Dampfkessel;  Kessel;  Kessel; tiefes Gefäß zum Kochen; tiefes Gefäß zum Kochen;   Lokomotive;   Lokomotive	 Kessel	Kessel-3
1876	854	KETTLE	kondér	 Lägel;   Kessel; Art Faß;   Flüssigkeitsmaß von drei;  evtl vier Seideln;  großer Topf	  Kessel	Kessel-7
1881	1135	KICK	tipor	 treten;  zertreten	 treten	treten-5
1883	1417	KILL	öl¹	  belästigen;  zugrunde richten;  plagen;   vernichten; töten;  umbringen;   auf etw wenden 〈un verhältnismäßige Zeit;  viel Geld〉;   Gemetzel;   Gemetzel	töten	toten-2
1892	844	KIND (THING)	fajta	Art;  Varietät;  Abart 〈auch als Attr〉	Art	Art-3
1896	844	KIND (THING)	típus	  Art;  Eigenart; Urbild;   Presse;   Type;  Letter;  Druckerei;  Typ als Grundform	  Art	Art-8
1898	1508	KING	király	König;   Hauptfigur im Schachspiel;   der Hervorragente unter den Ähnlichen;   zweithöchste Spielkarte;   der höchste Kegel im Kegelspiel	König	Konig-1
1900	578	KISS	csókol	küssen	küssen	kussen-2
1903	1371	KNEE	térd	Knie;  knienaher Schenkelteil;   Halmknoten;   das Knie bedekkender Teil der Hose	Knie	Knie-1
1904	1352	KNIFE	kés	  Schwert; Aufzeichnung des Zehenten durch Einkerben mit Messer;   Messer;  Säbel	  Messer	Messer-1
1905	1352	KNIFE	kusztora ×	 Messer; Schnappmesser;  Feitel;   Bistouri	 Messer	Messer-2
1906	2905	KNIT	köt	binden;   binden;   Bündel;   Bündel;   Bund;   Fessel;   mit jmdm anbinden;   einwickeln;  Strick;   Verbindung;   Verbindung;   Verbindung;  Händel suchen;   Schluß;   verknüpfen;  flechten;  Bündnis;   Seil;   Band;   mit etw verbunden sein;  anbinden;   stricken;  umhüllen;  einbinden 〈Buch〉;   verpflichten;  verbinden;   durch Zauber binden;  bannen;  behexen;   schließen 〈Vertrag;  Frieden usw〉;   mit jmdm anbinden 〈Streit〉;  an einer Sache etw aussetzen;  etw bemäkeln;    ansetzen;   Seil 〈Feldmaß〉;   Verpflichtung;  Verpflichtung;  Obliegenheit;   Seiler;   Bindender;   Schurz;  Binchnur;   Binde;   Stricken;   Einband;   Verband 〈Milit〉;   Pflicht;   Buchband;   bis zum Mittel	  stricken	stricken-1
1908	2396	KNOCK	dörög	   schreien;   brummen;   murren;   dröhnen;  poltern; tosen;   es donnert;   klopfen;   donnern 〈von Geschützen〉;   Donnern;   Rüge	  klopfen	klopfen-1
1913	2396	KNOCK	paskol	schlagen;  klopfen;  klatschen	 klopfen	klopfen-6
1931	1410	KNOW (SOMETHING)	tud	  einrechnen;  meinen;   Gelehrter;  ahnen;   Erkundigung;   Wissenschaft;   können;  verrichten;   überzeugt sein;  abtragen; jmdn kennen;  von jmdm Kenntnis haben;  etw wissen;  entschlossen sein;  Zuversicht haben;   mit jmdm Geschlechtsverkehr haben;  aufrechnen;  aufschreiben;   jmdn um etw bringen;  jmdn verjagen;   abrechnen;   gelehrt;   gelehrt;   Wissen;   überklug;   überklug;  gelehrsam;   Bewußtsein	  Wissen	Wissen-1
1936	1464	LADDER	létra	die Leiter;   Wagenleiter;   Tonleiter;   hochgeschossener Mensch	die Leiter	dieLeiter-1
1939	2949	LAIR	konstrukció	  Zusammensetzung; Wortfügung;  Satzbau;  Bau;  Gefüge	 Bau	Bau-1
1943	624	LAKE	tó	 Teich;    Teich; See	See	See-3
1944	1307	LANGUAGE	nyelv	  Rede;   Erklärung; Zunge;  Schprachgebrauch;   Sprache;   Sprache;   zungeförmiges Ding;   sprechende Person;   milit Geheimnisse preisgebender Gefangener;   außersprachliches Ausdrucksmittel;  Sprachgebrauch	  Sprache	Sprache-1
1946	1529	LAST (FINAL)	utó	  Ende;   Hinterteil;   Nachkomme;   Rand; letzter;   am Ende befindlich;   Hintergetreide	letzter	letzter-1
1947	1529	LAST (FINAL)	utol	  über;   Hinterteil;   Rand;   hinten;  Nachkommenschaft;   letzter; Überrest 〈einer Menschengruppe〉;   Ende 〈eines Vorgangs;  Zeitabschnitts〉;   letzter Teil;  Schlußteil;   weiter hinten;   zum letzten Mal;   zuletzt;   nach hinten;   nachträglich	  letzter	letzter-2
1949	1355	LAUGH	kacag	 lachen;   wiehern	 lachen	lachen-2
1950	1355	LAUGH	nevet	  kichern; lachen	lachen	lachen-3
1952	2958	LAUGHTER	csatara ×	 Lärm;   geschwätzig; Gelächter;   Geschwätz;   schnatterig	Gelächter	Gelachter-1
1954	2071	LAY (VERB)	rak	  prügeln;   tanzen;   Haufen;   legen;    legen;   voll;    ab-; bauen;   bauen lassen;  sich anhäufen;    setzen;   beschimpfen;  Stapel;  beladen;  laden;   Einlegearbeit machen;   aufzählen;   in Reihen anpflanzen;    hinstellen;  hinlegen;  einen Einsatz zahlen;  legen lassen;  überhäuft;  aufladen;   sich anlagern;   Schaufenster	  legen	legen-2
1956	2071	LAY (VERB)	tesz	  Handlung;   Tat;   Tat;  mächtig;   hinzufügen;  kräftig;   wohlhabend;   beschließen; handeln;   legen;   stark;   Fähigkeit;   Vermögen;  durchführen;   sich verstellen;   wirksam;   untätig;   für etw halten;   bedeuten;   begabt;   bewirken;  in irgendeine Lage versetzen;  verursachen: schaffen;   verzichten;  aufgeben;  voraussetzen;   betragen;  ausmachen;  symbolisieren;  bestimmen 〈Aufgabe;  Ziel usw〉;   gute Leistung erzielen;   deutlich;   Ankleide- 〈<in attr Funktion〉;   Einsatz;   Tun. Handlung;   satz;  Ausführung;  Ausführung;   Schöpfer;   Ofentür;   etw nicht ausführend 〈Adv〉;   untätig 〈Adv〉;   etw nicht tun könnend;   talentlos;   tuend;   tätig;   hin und her legen;   Täter	  legen	legen-4
1964	1564	LAZY	lanyha	 träge;   faul;  schwach;   still;   liederlich;   lau;   naschhaft; weichlich;  rieselnd 〈Regen〉;   stiller;  rieselnder Regen	 träge	trage-5
1966	1564	LAZY	lusta	 träge;   faul;   unverziert;  untätig; von einer gewissen Gangart 〈Pferd〉;  unschön	 träge	trage-7
2003	43	LEAD (GUIDE)	vezet	 leiten;   lenken;   führen;  führen;   Lenker; begleiten;  führen 〈Weg;  Leiter von etw sein;   einen  Lebenswandel führen;  führen 〈Fahrzeug〉;   etw ergeben;  Pfad usw〉;   strömendes Material leiten;   voranstehen 〈Sport〉;   Familien- 〈Name〉;   geleitet 〈Pferd〉;   Handpferd;   Leitung 〈Technik〉	 leiten	leiten-2
2007	43	LEAD (GUIDE)	vezényel	 befehlen;  lenken; führen;   kommandieren;  kommandieren;   beordern;   tatkräftig leiten;   dirigieren 〈Musik〉	führen	fuhren-3
2014	628	LEAF	lap	 Karte;   Fläche 〈Geom〉; flache Klinge 〈Säbel〉;  Fläche 〈Messer〉;   flache Seite;   Seite 〈Buch〉;   Blatt;   Niederung;   Zeitung;   Platte	  Blatt	Blatt-1
2016	628	LEAF	levél	 Urkunde;  Zettel;   Blatt;   Zeitung; Brief;   Blatt einer Pflanze;   Adels-;  Freibrief usw;  Seite 〈im Buch〉;   dünne Metallplatte;  plattenförmiger Gegenstand;   Blätterteig;   Blätter treiben;   blättrig 〈Pfanze〉;   eines Verbrechens verdächtigt;  brieflich verfolgt;   entblättern;  Triebe entfernen;   Briefwechsel führen	  Blatt	Blatt-3
2019	629	LEATHER	bőr	Leder;   Haut;  Fell;   Fruchthülle;   Haut 〈auf der Milch〉;   Haut 〈auf der Milch〉;   Weib 〈in sexueller Beziehung〉;   Ball 〈im Fußball〉	Leder	Leder-1
2024	1752	LEAVE	hagy	  verkaufen;   Tradition;   genehmigen;   anvertrauen;   anvertrauen; verlassen;  überlassen;  überlassen;   nachlassen;   befehlen;  bewilligen;  geschehen 〉;   lassen 〈etwas tun;   vererben;  hinterlassen;  anordnen;   jemanden oder etwas in demselben Zustand;  an demselben Ort lassen;   mit einer Sache aufhören;  bleiben lassen;   aufschieben;   aufschieben;  übriglassen;  übriglassen;   Spur usw. hinterlassen;  zulassen;   Verlassung;  Scheidung;   Nachlaß;  örökhagyó;  tradicionális;   das Lassen;  maradék;  valakinek a halála után maradt vagyon	verlassen	verlassen-2
2032	1297	LEG	láb	Fuß;  Fuß;   Schuh;   Bein;  Sok-kel;   Ende bzw irgendein Teil eines Gruntückes;   Fuß 〈Längenmaß〉;   Stamm des Baumes;   der Mensch selbst;   Versfuß	  Bein	Bein-5
2034	1612	LETTER	levél	 Urkunde;  Zettel;   Blatt;   Zeitung; Brief;   Blatt einer Pflanze;   Adels-;  Freibrief usw;  Seite 〈im Buch〉;   dünne Metallplatte;  plattenförmiger Gegenstand;   Blätterteig;   Blätter treiben;   blättrig 〈Pfanze〉;   eines Verbrechens verdächtigt;  brieflich verfolgt;   entblättern;  Triebe entfernen;   Briefwechsel führen	Brief	Brief-1
2036	319	LICK	nyal	 Getränk〉;   schmeichlerisch; lecken;  saufen;  schlecken;   umschmeicheln;  umbuhlen;   sich schmecken lassen 〈Wein;   küssend liebkosen;  abschmatzen;   naschhafter;  wichtigtuender Nichtstuer;   Stielbonbon	lecken	lecken-2
2039	2319	LID (COVER, CAP)	fedél	  Decke;   Schutz;   Deckel;   Deck;   Deck; Dach;   dachen;   Dachung	  Deckel	Deckel-3
2043	2319	LID (COVER, CAP)	kupak	 Kappe;   Haube; Mohnkopf;   deckel	  deckel	deckel-1
2048	1411	LIE (REST)	fekszik	 liegen; liegen 〈von einer Person〉;  sich legen;   sich ausbreiten;   liegen 〈vom Militär〉;   sich befinden 〈von einem Gegenstand〉;   in etw bestehen;   Liegen;   Liegen;  fekvés;   liegend;  im Liegen;   Art Eule;   liegen lassen	 liegen	liegen-3
2050	1411	LIE (REST)	nyugszik	 schlafen;   ruhig;   beruhigen;   unruhig;  liegen;   sterben;   sich beruhigen; ruhen;   Ruhe halten;  ruhig bleiben;   untergehen 〈Himmelskörper〉;   ruhen 〈Leiche〉;   sich fügen;  sich zufrieden geben;   beruhen;  sich gründen	 liegen	liegen-5
2058	501	LIFT	emel	  steigern;   stehlen;  errichten; heben;   aneifern;   zu einem Rang erheben;   bauen;  zur Entwicklung bringen;   Aufhebung;   Stockwerk;   Hebezeug	heben	heben-1
2061	737	LIGHT (IGNITE)	gyújt	  Zündholz; anzünden;    anstimmen	anzünden	anzunden-1
2063	630	LIGHT (RADIATION)	fény	  Ruhm;  Pracht;   Augenlicht;   schimmern;  Licht; Schimmer;  Glanz;   Aufklärung;   Herrlichkeit;  fénylő;   sich verklären;   beleuchten lassen	 Licht	Licht-2
2064	630	LIGHT (RADIATION)	világ	  blind;   Dasein;   Weltall;   Licht;   Erdteil;   Zeitalter;   Bereich;   weltlich;   profan;   leuchten;  Erdreich; die menschliche Gesellschaft;  das irdische Leben;  Welt;  Erleuchtung 〈auch abstr〉;  weltliches Leben;   sich erhellen;   sich erhellen;   Sehkraft geben;   Erleuchtung 〈abstr〉;   Klarmachen;   Aufklärung 〈Geistesbewegung〉	  Licht	Licht-3
2070	1048	LINE	vonal	  Gestalt;  Form;   Zug;  Zug;   Niveau;   Eigenschaft;   Richtung;  Tendenz;  Reihe; Linie;  Grenzlinie;   Lineal;  Riß;  Strecke;   Dracht;  Gesichtszug;  Gebicts-streifen;  Bahn. Weg;   Gedankenfolge;   Art altes Maß 〈<zB 1/12 Zoll〉;   Bahnzug;  Bahnlinie;   Telegrafen-;  Telefonlinie;   Betätigungsfeld;  Aufgabengebiet;   Karte für einmalige Fahrt auf einer Strek-ke;  ohne Umsteigen	Linie	Linie-3
2072	478	LIP	ajak	Mund; Mund; Lippe;  Lippe;   Schamlippe;   Schamlippe;   Öffnung 〈eines Gefäßes〉;   Öffnung 〈eines Gefäßes〉;   Kinn;   Kinn;   Lippenblütler ;   Lippenblütler 	Lippe	Lippe-1
2078	1608	LISTEN	hall¹	  zuhören;  willfahren; hören;   vernehmen;   Gehör schenken;   das Hören;   hören lassen 	  zuhören	zuhoren-3
2080	1224	LIVER	máj	Leber;   die Leber des Menschen als vermeintlicher Wohnsitz versch Gefühle und Regungen	Leber	Leber-2
2090	1679	LOAD	súly	  Last;   schwer;  Bedeutung;   Gewicht; Wichtigkeit;   Schwere;   Beschwerer;   Metallgegenstand von genau bestimmter Masse zum Gewichtmessen;   Hantel;   in die Balance! 〈als Komman-dow〉	  Last	Last-9
2091	1679	LOAD	teher	  belästigen;   schwanger;  Krug; Last;   schwer;   Ladung;   Knechtschaft;   Eimer;   Pflicht;  Bürde;   beladen;   beladen;   Schwangerschaft;   Schwangerschaft;  Schuld;   beladen werden;    belastet sein	Last	Last-10
2093	1596	LOCK	árestál ∆	  anhalten; pfänden;  sperren;  verhaften	 sperren	sperren-1
2094	1203	LONG	sudár	 gerade;  hoch;   schlank;   Brunnenstange; rauschend;  scharf 〈Gerte〉;   lang;   Sonnenstrahl;   Schwippe;   aufstrebender;  gerader Teil eines Baumes;  eines Busches	  lang	lang-1
2098	2960	LONGING (WISH)	kedv	 Lust;   Genuß;   Laune; Wohlgefallen;  Wunsch;   Wohlwollen;  Vergnügen;   Neigung;  Bereitwilligkeit;   liebevoll;  herzlich;   um einer Sache willen	 Lust	Lust-5
2099	2960	LONGING (WISH)	kény	 Lust;   Nettigkeit;   Genuß;   Gewalt;   nötigen;  zwingen;   antreiben;   heikel;  Laune;  Neigung; Wille;   Wonne;   Belieben;   Bequemlichkeit;  Verwöhntheit;   launischer Wunsch;   genußsüchtig	 Lust	Lust-6
2102	1819	LOOK	néz	  versprechen;  sich offenbaren;  Meinung;   untersuchen;   betreffen;  beobachten;  erwägen;   suchen; schauen;  für etw halten;  zukommen;   jmdm zufallen;   Umschau halten;  sich an einem Anblick weiden;   vertrauensvoll anblicken;   untätig zusehen;  untätig verstreichen lassen;   auf jmdn od etw Rücksicht nehmen;  sich um jmdn od etw kümmern;  anbelangen;    hinausekeln;   sichtbar sein;  wählen;   jmdm etw nachsehen;   sich richten;   ansehen;   irgendwie aussehen;  erwarten lassen;   Beschauer;  Zuschauer;   Hellseher;   Besichtigung 〈Anlaß〉;   Ort zum Ausschauhalten;   Sicht;   Anschauung	schauen	schauen-3
2109	1468	LOOK FOR	keres	 klagen;   erwerben;   streben; suchen;   verfolgen;  sich bemühen;   nach etw trachten;  auf etw hinwollen;   Suche führen;  nachforschen;   profitieren von etw;    verdienen;   gerichtlich belangen;   Suchen;   Sucher	suchen	suchen-2
2115	1392	LOUSE	tetű	Laus;   trödeln;  nölen;   sich lausen;   herumfummeln	Laus	Laus-1
2116	923	LOVE	szerelem	  Geliebte;   Geliebte;   geliebt;   geliebt;   verliebt;   Eifer;   liebenswürdig;  Liebesverhältnis; Liebe;  Vorliebe;   Liebe 〈sexuell〉;   geliebte Sache;  Liebstes;   gerne;  mit Vergnügen	Liebe	Liebe-1
2120	721	LOW	lent	unten;   auf niedrigerer Stufe 〈im Rang〉;   weiter unten	unten	unten-4
2122	166	MAINLAND	kontinens	Festland;  Kontinent	Festland	Festland-2
2124	166	MAINLAND	szárazföld	Festland;  Kontinent	Festland	Festland-4
2125	734	MAKE	csinál	 verfertigen; herstellen;  stellen;   tun;   entstehen;  errichten;   ausbessern;  machen;   hecheln;   legen;   zeugen;  beischlafe 〈in euphem Ausdrücken〉;   verursachen;   Schein-;  erkünstelt	 machen	machen-1
2131	2892	MAKE ANGRY (ANNOY)	bosszant	ärgern	ärgern	argern-2
2132	2892	MAKE ANGRY (ANNOY)	háborít	 beunruhigen;  beunruhigen;  belästigen;  belästigen;  ärgern;  ärgern; stören;   stören;  zornig machen;  zornig machen;   wogen lassen;  hochgehen lassen;   Überkeit verursachen	 ärgern	argern-3
2137	1554	MAN	ember	Mensch;   Mann;  Gemahl;   Menschchen;   Menschentum;   Menschenheit	  Mann	Mann-1
2138	1554	MAN	férfi	  Mensch;   Knabe; Mann;   Gemahl;   männlich;   männlich;  Männer-;  Mannes-;   verheiratet 〈Frau〉	Mann	Mann-2
2145	2846	MARCH	március	März	März	Marz-1
2148	2848	MAY (MONTH)	május	Mai	Mai	Mai-2
2154	1506	MEASURE	mér	  verkaufen;   vergleichen;   mäßigen; messen;   messen;    versetzen;   verhängen;  bemessen;   zuteil werden lassen;   abschreiten;   mit dem Auge verfolgen;  mit den Augen messen;   sich mit jmdm messen;   Messer 〈Person〉;   unmeßbar;   unmäßig;   ausgemessenes Gebiet;   Ausmaß	messen	messen-1
2157	634	MEAT	hús	  Fruchtfleisch; Fleisch;   Fleisch zerschneiden	Fleisch	Fleisch-1
2162	1372	MEDICINE	szer²	  Gerät;  Verfahren;   Mittel;   Maß;   Zeremonie;   Person; Ordnung;  Arznei;  Bündnis;   Vertrag;   bereitwillig;  geschickt;   Reihe;   Weise;  Schicht;  Zurückhaltung;  Anordnung;   zeitliche Reihenfolge;   Teil von etw;   geom Verhältnis;  rendetlenné tesz	 Arznei	Arznei-5
2166	1831	MEET	talál	 gewinnen;   antreffen;   sich befinden;   findig;  daß ...;   treffen;  passen;   gelangen;   erfinden;   erachten;   finden;   ersuchen;   stimmen; vorfinden;  begegnen;    begegnen;   dazukommen;   es könnte sich ergeben;   in der Art eines Rätsels	  treffen	treffen-4
2167	1831	MEET	treffel ∆	 treffen	 treffen	treffen-5
2169	2334	MELT	forraszt	schmelzen;  gießen 〈Metall〉;   sieden machen;  in Wallung bringen;   aufregen;   löten;   zum Verheilen bringen;   jmdm etw einpflanzen;   hervorquellen lassen;   sich mit einem Gedanken tragen;   einem etw im Munde ersticken 〈abstr〉	schmelzen	schmelzen-1
2171	1976	MERRY	csiricsáré	  Gekritzel;   gemein;   geschwätzig; Geschwätz;   geringfügig;  geringwertig;   schreiend bunt;  aufgedonnert;   schusselig;  halbverrückt;   lustig	  lustig	lustig-1
2174	1976	MERRY	víg	lustig;   Freude;   lustig sein;  sich freuen;   sich trösten;   Trost;   Lustbarkeit	lustig	lustig-4
2176	2961	MESSAGE	hír	  Ruhm;   berüchtigt; Kenntnis;   Nachricht;   berühmt werden;   berühmt werden;   Kundgebung;   hochberühmt	  Nachricht	Nachricht-2
2182	12	MIDDAY	dél	Mittag;   Süden;   Mittag des Lebens;  der Laufbahn;   Tageslicht;  Öffentlichkeit;   Mittagessen;   Mittagrast halten	Mittag	Mittag-1
2187	1093	MIDDLE	közép	  Mittelpunkt;   Mitte;  in der Mitte befindlich; mittlerer;   mittel 〈Gestalt;  Größe〉;   mittelmäßig;   mittelmäßig;   desinteressiert;  indifferent;   Mittelmäßigkeit;   mittlere Möglichkeit;  Mittelweg;   Partei der Mitte;   Durchschnittsmensch;  mittelmäßige Menge	  Mitte	Mitte-5
2188	1093	MIDDLE	médium	Mittel;  Mitte;   Mittelweg;  vermittelndes Element;   Medium im Okkultismus;   Kommunikationsmittel	 Mitte	Mitte-6
2190	635	MILK	tej	Milch;   milchähnl Pflanzensaff;   Fischmilch;   Milch spenden;   blechen;  bluten  〈zahlen〉	Milch	Milch-1
2191	1562	MIND	elme	  Vernunft;   unsinnig; Seele;  Seelenzu-stand;  Verstand;   nachdenken	 Verstand	Verstand-1
2192	1562	MIND	ész	  Gehirn;  Vernunft;  Verstand; Gedächtnis	 Verstand	Verstand-2
2196	1171	MIRROR	tükör	  Symbol;   Vorbild; Spiegel;  Spiegel;  Musterbild;   Glimmer;   Fürstenspiegel;  kurzer Abriß gewisser Kenntnisse;   schillernder Fleck auf dem Gefieder;  Schürze 〈beim Rotwild〉;   glänzende Wasserfläche;  glänzende Oberfläche von etw;   seidener Aufschlag od Einsatz am Revers;  Kragen usw;   Spiegelfasern 〈im Längsschnitt des Baumstammes〉;   Satzspiegel;   blankpolierter Harnisch 〈Geol〉;   glänzend klar	Spiegel	Spiegel-1
2198	3072	MISPLACE	veszt	 zerstören;  vernichten; umbringen;  Ziel usw〉;   umkommen lassen;  verlieren;   ausplündern;   besiegt werden;  unterliegen;   verfehlen 〈Weg;   gegeneinander hetzen;   besiegt;  unterlegen	 verlieren	verlieren-1
2199	3072	MISPLACE	veszejt ×	  verschwenden;  vernichten; umbringen;  umkommen lassen;   verlieren;   besiegt werden;  unterliegen	  verlieren	verlieren-2
2202	1293	MISTAKE	gikszer	Fehler;  Fehlgriff;   Umschnappen der Stimme beim Singen;   Fehlstoß 〈imBillarpiel〉	Fehler	Fehler-3
2203	1293	MISTAKE	hiba	  Beschwerlichkeit;  Plackerei;  Defekt;  Fehler;   Mangel;  schlecht;   mangelhaft;   Fehlgriff;  vergeblich;  leer; fruchtlos;   schuldig	 Fehler	Fehler-4
2205	1697	MONDAY	hétfő	Montag;   Sonntag	Montag	Montag-1
2215	1559	MONEY	pénz	Geld;   Geltück;   ungarische Währungseinheit im ausgehenden Mittelalter 〈1/100 Forint〉;   Fischschuppe	Geld	Geld-10
2216	1370	MONTH	hó²	Mond;   Monat;   Monüchtige	  Monat	Monat-1
2217	1370	MONTH	hónap	Monat	Monat	Monat-2
2219	1313	MOON	hold¹	Mond;   Mondmonat;   Blesse;   Satellit;   Pferd mit einer Blesse an der Stirn;   monüchtig	Mond	Mond-2
2222	2962	MOORLAND	láp	  Floß; Moor;   Bewach- sung des Sumpfwassers	Moor	Moor-3
2227	1339	MORNING	reg² †	 früh; am Morgen;   Morgen	  Morgen	Morgen-1
2228	1509	MOSQUITO	csimasz ×	Mücke;   Wanze;   Art glänzender Käfer;   Engerling;  Ungeziefer	Mücke	Mucke-2
2229	1509	MOSQUITO	szúnyog	  Libelle; Mücke	Mücke	Mucke-3
2230	1216	MOTHER	anya	Mutter;   Vorgesetzte;  Leiterin;   Ursprung;   Stamm-mutter;   Muttertier;   Mütterchen	Mutter	Mutter-1
2231	1216	MOTHER	mama	Mutter;   Großmutter;  alte Frau	Mutter	Mutter-2
2233	639	MOUNTAIN	hegy	  Haufen;   hochmütig;   Spitze;   sticheln; Berg;   spitzig	Berg	Berg-1
2234	639	MOUNTAIN	rez ×	 Gipfel;   Berg;  Hochebene; Rodung im Wald;   Waldüberreste auf einem Gipfel	  Berg	Berg-2
2237	1491	MOUSE	pocok	 Pimpf;   Maus;   Ratte;  Erdmaus;   Maulwurf;   Knirps; Feldmaus	  Maus	Maus-2
2238	1165	MOUSTACHE	bajusz	Schnurrbart;   Ranke;   Bartfäden;   Granne	Schnurrbart	Schnurrbart-1
2242	674	MOUTH	száj	  Öffnung; Mund;  Lippen;  Mundung;  Maul;  Eingang;   Flußmündung;   irgendwelchen Mund habend;   großmutig	Mund	Mund-5
2246	2874	MOVE (ONESELF)	inog	 taumeln;   schwanken; wanken;   beweglich;   Sumpf;  sich bewegen;   ins Schwanken geraten;  erschüttert werden;   Mobilien;   unbeweglich;   Immobilien	 sich bewegen	sichbewegen-1
2247	2874	MOVE (ONESELF)	jár	  erfahren;   Gang;  gehen;   durchdringen;  vor jmdn treten;   übel ankommen;  gelangen;   gelangen;   jmd;   sich bewegen; vor etw;  schreiten;   eine Gepflogenheit haben;  ein bestimmtes Leben führen;  durchfahren;   gang und gäbe sein;  üblich sein;  kommen 〈irgendwohin〉;   zu etw gehen;  zu gehen pflegen;  besuchen 〈zB Schule〉;   zu etw führen;  jmdm zum Wohle od Schaden gereichen;  in Betrieb sein;   zukommen;  zustehen;   es gibt;  man hat 〈irgendein Wetter〉;   mit etw einhergehen;  mit etw verbunden sein;   beziehen;  abonniert haben 〈beziehen;  abonniert haben〉;   Gehen;   Verwaltungsbezirk;   bewandert 〈konkr〉;   kundig;   gehen lassen;   abonnieren;  der bei jmdm aus- und eingeht	  sich bewegen	sichbewegen-2
2249	3651	MUSH (FOOD)	kása	  Mörtel;   Mörtel;   Wade;   Wade; Grütze; Grütze;  Brei;  Brei;   dickflüssige od grießige;   dickflüssige od grießige;  breiartige Masse;  breiartige Masse;   Auflauf;   Auflauf;  Souffle;  Souffle	 Brei	Brei-1
2260	641	MUSHROOM	gomba	Pilz;   kreisförmiges Verkaufshaus	Pilz	Pilz-2
2265	502	NAIL (TOOL)	szeg³	Nagel;  Stift;   Knoblauchskraut;   Niet;  Nägelchen	Nagel	Nagel-4
2267	590	NAKED	csupasz	nackt;  kahl;  bartlos;   unbewaffnet	nackt	nackt-2
2269	590	NAKED	meztelen	  nackt;   nackt; kahl;  bloß;  bar;  entblößt;   sich entblößen	  nackt	nackt-4
2273	1405	NAME	név	 Ruhm;   Wort;   Ehre;   nennen;   Ruf; Name;   Benennung;  Gattungsname;   Nomen;   Nomitativ;   Nenner	Name	Name-1
2275	1347	NAPE (OF NECK)	szirt	Felsen;  Felsklippe;   Genick;   Prallufer 〈in Flußschleifen〉;  Stromschnelle	  Genick	Genick-1
2276	1347	NAPE (OF NECK)	tarkó	 Hinterkopf; Genick	Genick	Genick-2
2278	1267	NARROW	keskeny	schmal;  eng	schmal	schmal-2
2282	1267	NARROW	szűk	  kurz;  schmal;  mager;   Notdurft;   Mangel;  Schuh〉;   sich vermindern;   eng;   eng;   knapp; dürftig;   Not;   Bedarf;  kärglich;  fest anliegend 〈Kleid;  knapp 〈Zeit〉;   beschränkt;   schmal 〈Schulter. Brust usw〉;   eng 〈Gesellschaft〉;  Knappheit;   notwendig 〈als Präd〉;   bedürfen;   Not leiden	 schmal	schmal-6
2284	1838	NAVEL	köldök	  Pflugsohle;  Mittelteil; Nabel;   Knopf auf der Bischofsmütze;   Abhängsei 〈in der Baukunst〉;   Nabel des Pflanzensamens;  Hilum;   Art Verbindungsteil	Nabel	Nabel-1
2285	1942	NEAR	közel	  Verwandtschaft;   Mitmensch; nahe;   in die Nähe 〈kommen〉;   nahe 〈einem Zeitpunkt〉;   annähernd;  beinahe;   bei weitem 〈nicht〉;   Verwandte;   Verwandte;   Nähe;   Nähe;   nahe befindlich;   nahe befindlich;   sich nähern	nahe	nahe-1
