Grapheme	IPA
lábító	l aː b iː t oː
laboda	l ɒ b o d ɒ
láda	l aː d ɒ
láger	l aː ɡ ɛ r
lágy	l aː ɟ
lágyék	l aː ɟ eː k
lajhár	l ɒ j h aː r
lak	l ɒ k
lák	l aː k
lakik	l ɒ k i k
lamentál	l ɒ m ɛ n t aː l
lámpás	l aː m p aː ʃ
lándzsa	l aː n d͡ʒ ɒ
láng	l aː n ɡ
langaléta	l ɒ n ɡ ɒ l eː t ɒ
lánna	l aː nː ɒ
lant	l ɒ n t
lantorna	l ɒ n t o r n ɒ
lanyha	l ɒ ɲ h ɒ
lap	l ɒ p
láp	l aː p
lapát	l ɒ p aː t
lapocka	l ɒ p o t͡s k ɒ
lapos	l ɒ p o ʃ
lapu	l ɒ p u
lárma	l aː r m ɒ
lassú	l ɒ ʃː uː
lát	l aː t
látogat	l aː t o ɡ ɒ t
láz	l aː z
laza	l ɒ z ɒ
lazac	l ɒ z ɒ t͡s
lazsnak	l ɒ ʒ n ɒ k
le	l ɛ
leány	l ɛ aː ɲ
leffeg	l ɛ fː ɛ ɡ
lég	l eː ɡ
legel	l ɛ ɡ ɛ l
légió	l eː ɡ i oː
légy	l eː ɟ
legyez	l ɛ ɟ ɛ z
leh	l ɛ h
léha	l eː h ɒ
lejt	l ɛ j t
lektor	l ɛ k t o r
lel	l ɛ l
lemez	l ɛ m ɛ z
lemonya	l ɛ m o ɲ ɒ
leng	l ɛ n ɡ
lent	l ɛ n t
lény	l eː ɲ
leopárd	l ɛ o p aː r d
lep	l ɛ p
lép	l eː p
lepcses	l ɛ p t͡ʃ ɛ ʃ
lependék	l ɛ p ɛ n d eː k
lepentyű	l ɛ p ɛ n c yː
lepke	l ɛ p k ɛ
leppeg	l ɛ pː ɛ ɡ
lesbeteg	l ɛ ʃ b ɛ t ɛ ɡ
lésza	l eː s ɒ
lét	l eː t
létra	l eː t r ɒ
levegő	l ɛ v ɛ ɡ øː
levél	l ɛ v eː l
levente	l ɛ v ɛ n t ɛ
leves	l ɛ v ɛ ʃ
lézeng	l eː z ɛ n ɡ
liba	l i b ɒ
libeg	l i b ɛ ɡ
lidérc	l i d eː r t͡s
lt	l t
likvidál	l i k v i d aː l
lila	l i l ɒ
limbus	l i m b u ʃ
línea	l iː n ɛ ɒ
link	l i n k
lippen	l i pː ɛ n
liszt	l i s t
litánia	l i t aː n i ɒ
lóbál	l oː b aː l
lobog	l o b o ɡ
lóca	l oː t͡s ɒ
locspocs	l o t͡ʃ p o t͡ʃ
lóg	l oː ɡ
lohad	l o h ɒ d
lok	l o k
lokál	l o k aː l
lomha	l o m h ɒ
lomp	l o m p
loncsos	l o n t͡ʃ o ʃ
lop	l o p
lotyó	l o c oː
lóvé	l oː v eː
lök	l ø k
löncs	l ø n t͡ʃ
lövöldék	l ø v ø l d eː k
lúd	l uː d
ludas	l u d ɒ ʃ
luft	l u f t
lunátikus	l u n aː t i k u ʃ
lunka	l u n k ɒ
lusta	l u ʃ t ɒ
lüke	l y k ɛ
lükög	l y k ø ɡ
lyuk	j u k
ma	m ɒ
macerál	m ɒ t͡s ɛ r aː l
mackó	m ɒ t͡s k oː
macska	m ɒ t͡ʃ k ɒ
madám	m ɒ d aː m
madár	m ɒ d aː r
madonna	m ɒ d o nː ɒ
maga	m ɒ ɡ ɒ
magán	m ɒ ɡ aː n
magas	m ɒ ɡ ɒ ʃ
magasztal	m ɒ ɡ ɒ s t ɒ l
magazin	m ɒ ɡ ɒ z i n
máglya	m aː ɡ j ɒ
magyaráz	m ɒ ɟ ɒ r aː z
máj	m aː j
majális	m ɒ j aː l i ʃ
majc	m ɒ j t͡s
majdan	m ɒ j d ɒ n
március	m aː r t͡s i u ʃ
margaréta	m ɒ r ɡ ɒ r eː t ɒ
marha	m ɒ r h ɒ
mart	m ɒ r t
márt	m aː r t
más	m aː ʃ
masina	m ɒ ʃ i n ɒ
másod	m aː ʃ o d
másutt	m aː ʃ u tː
maszat	m ɒ s ɒ t
mászik	m aː s i k
maszlag	m ɒ s l ɒ ɡ
massza	m ɒ sː ɒ
masszív	m ɒ sː iː v
matéria	m ɒ t eː r i ɒ
május	m aː j u ʃ
makk	m ɒ kː
makog	m ɒ k o ɡ
mál	m aː l
málé	m aː l eː
maliciózus	m ɒ l i t͡s i oː z u ʃ
málna	m aː l n ɒ
mama	m ɒ m ɒ
máma	m aː m ɒ
mammon	m ɒ mː o n
mámoros	m aː m o r o ʃ
mancs	m ɒ n t͡ʃ
mandarin	m ɒ n d ɒ r i n
mándli	m aː n d l i
mangold	m ɒ n ɡ o l d
mankó	m ɒ n k oː
manusz	m ɒ n u s
mar	m ɒ r
már	m aː r
maráz	m ɒ r aː z
matyó	m ɒ c oː
máz	m aː z
mázli	m aː z l i
meccs	m ɛ t͡ʃː
meddő	m ɛ dː øː
médium	m eː d i u m
medve	m ɛ d v ɛ
meg	m ɛ ɡ
még	m eː ɡ
megannyi	m ɛ ɡ ɒ ɲː i
megint	m ɛ ɡ i n t
megvált	m ɛ ɡ v aː l t
megy	m ɛ ɟ
mekeg	m ɛ k ɛ ɡ
meleg	m ɛ l ɛ ɡ
mell	m ɛ lː
mellék	m ɛ lː eː k
mellett	m ɛ lː ɛ tː
meló	m ɛ l oː
mely	m ɛ j
mély	m eː j
mezőny	m ɛ z øː ɲ
meztelen	m ɛ z t ɛ l ɛ n
mi	m i
miá	m i aː
mienk	m i ɛ n k
milling	m i lː i n ɡ
mind	m i n d
mindig	m i n d i ɡ
miniatur	m i n i ɒ t u r
ministrál	m i n i ʃ t r aː l
mint	m i n t
minta	m i n t ɒ
mirigy	m i r i ɟ
mismás	m i ʃ m aː ʃ
mendikál	m ɛ n d i k aː l
menekül	m ɛ n ɛ k y l
menik	m ɛ n i k
ment	m ɛ n t
menten	m ɛ n t ɛ n
meny	m ɛ ɲ
menyasszony	m ɛ ɲ ɒ sː o ɲ
menyekezik	m ɛ ɲ ɛ k ɛ z i k
menny	m ɛ ɲː
mennydörög	m ɛ ɲː d ø r ø ɡ
mennyezet	m ɛ ɲː ɛ z ɛ t
mennyi	m ɛ ɲː i
mer	m ɛ r
mér	m eː r
meredek	m ɛ r ɛ d ɛ k
merény	m ɛ r eː ɲ
merkőce	m ɛ r k øː t͡s ɛ
mérleg	m eː r l ɛ ɡ
merre	m ɛ rː ɛ
mert	m ɛ r t
mese	m ɛ ʃ ɛ
mester	m ɛ ʃ t ɛ r
mész	m eː s
mészáros	m eː s aː r o ʃ
messze	m ɛ sː ɛ
met	m ɛ t
métely	m eː t ɛ j
mez	m ɛ z
méz	m eː z
moccan	m o t͡sː ɒ n
mocsár	m o t͡ʃ aː r
mód	m oː d
modell	m o d ɛ lː
mogyoró	m o ɟ o r oː
moh	m o h
moher	m o h ɛ r
mokány	m o k aː ɲ
mókus	m oː k u ʃ
molva	m o l v ɒ
moly	m o j
mond	m o n d
mondúr	m o n d uː r
monnal	m o nː ɒ l
mony	m o ɲ
morc	m o r t͡s
mord	m o r d
mordály	m o r d aː j
mormol	m o r m o l
mormota	m o r m o t ɒ
mos	m o ʃ
mosómedve	m o ʃ oː m ɛ d v ɛ
most	m o ʃ t
motor	m o t o r
motoz	m o t o z
motyó	m o c oː
motyog	m o c o ɡ
mulat	m u l ɒ t
múlik	m uː l i k
múlván	m uː l v aː n
mulya	m u j ɒ
munka	m u n k ɒ
murcos	m u r t͡s o ʃ
muri	m u r i
murva	m u r v ɒ
muskotály	m u ʃ k o t aː j
mustra	m u ʃ t r ɒ
mut	m u t
mutál	m u t aː l
muter	m u t ɛ r
múzsa	m uː ʒ ɒ
muzsika	m u ʒ i k ɒ
műt	m yː t
nádméz	n aː d m eː z
nádra	n aː d r ɒ
nadrág	n ɒ d r aː ɡ
nagy	n ɒ ɟ
nám	n aː m
nap	n ɒ p
narancs	n ɒ r ɒ n t͡ʃ
násfa	n aː ʃ f ɒ
nász	n aː s
nátha	n aː t h ɒ
necc	n ɛ t͡sː
nedv	n ɛ d v
negédes	n ɛ ɡ eː d ɛ ʃ
negélyes	n ɛ ɡ eː j ɛ ʃ
négy	n eː ɟ
negyven	n ɛ ɟ v ɛ n
nehéz	n ɛ h eː z
neki	n ɛ k i
nektár	n ɛ k t aː r
nélkül	n eː l k y l
nélkülön	n eː l k y l ø n
nem	n ɛ m
néma	n eː m ɒ
némber	n eː m b ɛ r
nemes	n ɛ m ɛ ʃ
nemtő	n ɛ m t øː
nemz	n ɛ m z
néni	n eː n i
nép	n eː p
neszel	n ɛ s ɛ l
név	n eː v
nevel	n ɛ v ɛ l
nevet	n ɛ v ɛ t
néz	n eː z
nógat	n oː ɡ ɒ t
noszogat	n o s o ɡ ɒ t
nóta	n oː t ɒ
notórius	n o t oː r i u ʃ
novella	n o v ɛ lː ɒ
november	n o v ɛ m b ɛ r
növény	n ø v eː ɲ
nővér	n øː v eː r
nulla	n u lː ɒ
numerus	n u m ɛ r u ʃ
nyafog	ɲ ɒ f o ɡ
nyaggat	ɲ ɒ ɡː ɒ t
nyáj	ɲ aː j
nyak	ɲ ɒ k
nyák	ɲ aː k
nyakas	ɲ ɒ k ɒ ʃ
nyakló	ɲ ɒ k l oː
nyal	ɲ ɒ l
nyál	ɲ aː l
nyaláb	ɲ ɒ l aː b
nyalka	ɲ ɒ l k ɒ
nyanya	ɲ ɒ ɲ ɒ
nyápic	ɲ aː p i t͡s
nyár	ɲ aː r
nyargal	ɲ ɒ r ɡ ɒ l
nyavalya	ɲ ɒ v ɒ j ɒ
nyék	ɲ eː k
nyekeg	ɲ ɛ k ɛ ɡ
nyel	ɲ ɛ l
nyél	ɲ eː l
nyer	ɲ ɛ r
nyerít	ɲ ɛ r iː t
nyers	ɲ ɛ r ʃ
nyikhaj	ɲ i k h ɒ j
nyíl	ɲ iː l
nyilva	ɲ i l v ɒ
nyimnyám	ɲ i m ɲ aː m
nyír	ɲ iː r
nyirbál	ɲ i r b aː l
nyirkos	ɲ i r k o ʃ
nyit	ɲ i t
nyivákol	ɲ i v aː k o l
nyolc	ɲ o l t͡s
nyolcvan	ɲ o l t͡s v ɒ n
nyom	ɲ o m
nyomorgat	ɲ o m o r ɡ ɒ t
nyoszolya	ɲ o s o j ɒ
nyög	ɲ ø ɡ
nyugat	ɲ u ɡ ɒ t
nyújt	ɲ uː j t
nyúl	ɲ uː l
nyurga	ɲ u r ɡ ɒ
nyuvad	ɲ u v ɒ d
nyúz	ɲ uː z
nyűg	ɲ yː ɡ
nyüst	ɲ y ʃ t
ő	øː
öblít	ø b l iː t
öcs	ø t͡ʃ
ődöng	øː d ø n ɡ
öklel	ø k l ɛ l
öklik	ø k l i k
öklödik	ø k l ø d i k
öl	ø l
ölel	ø l ɛ l
ölt	ø l t
öltözik	ø l t ø z i k
ön	ø n
önt	ø n t
őr	øː r
ördög	ø r d ø ɡ
öreg	ø r ɛ ɡ
örmény	ø r m eː ɲ
örök	ø r ø k
öröm	ø r ø m
őrs	øː r ʃ
örvény	ø r v eː ɲ
ösvény	ø ʃ v eː ɲ
ősz	øː s
őszinte	øː s i n t ɛ
össze	ø sː ɛ
ösztöndíj	ø s t ø n d iː j
ösztövér	ø s t ø v eː r
öszvér	ø s v eː r
öt	ø t
ötven	ø t v ɛ n
özön	ø z ø n
özvegy	ø z v ɛ ɟ
ó	oː
objektum	o b j ɛ k t u m
ócsárol	oː t͡ʃ aː r o l
ócska	oː t͡ʃ k ɒ
ocsúdik	o t͡ʃ uː d i k
oda	o d ɒ
odor	o d o r
odú	o d uː
óhajt	oː h ɒ j t
ok	o k
okádik	o k aː d i k
okos	o k o ʃ
október	o k t oː b ɛ r
olaj	o l ɒ j
olcsó	o l t͡ʃ oː
old	o l d
oldal	o l d ɒ l
olló	o lː oː
ólom	oː l o m
olt	o l t
olvas	o l v ɒ ʃ
olvaszt	o l v ɒ s t
ómega	oː m ɛ ɡ ɒ
omlik	o m l i k
ón	oː n
onnét	o nː eː t
óra	oː r ɒ
orca	o r t͡s ɒ
ordas	o r d ɒ ʃ
ordít	o r d iː t
orgánum	o r ɡ aː n u m
ormány	o r m aː ɲ
orom	o r o m
oroszlán	o r o s l aː n
oroz	o r o z
orr	o rː
ország	o r s aː ɡ
ort	o r t
orv	o r v
orvos	o r v o ʃ
ósdi	oː ʃ d i
osont	o ʃ o n t
ostoba	o ʃ t o b ɒ
ostor	o ʃ t o r
ostrom	o ʃ t r o m
ostya	o ʃ c ɒ
oszkotár	o s k o t aː r
oszlop	o s l o p
oszt	o s t
osztály	o s t aː j
osztriga	o s t r i ɡ ɒ
otromba	o t r o m b ɒ
ott	o tː
otthon	o tː h o n
ottogyol	o tː o ɟ o l
óv	oː v
óvatos	oː v ɒ t o ʃ
pakli	p ɒ k l i
paklincs	p ɒ k l i n t͡ʃ
paksaméta	p ɒ k ʃ ɒ m eː t ɒ
palack	p ɒ l ɒ t͡s k
palacka	p ɒ l ɒ t͡s k ɒ
palánk	p ɒ l aː n k
pall	p ɒ lː
palló	p ɒ lː oː
pálma	p aː l m ɒ
palota	p ɒ l o t ɒ
pálya	p aː j ɒ
pamacs	p ɒ m ɒ t͡ʃ
pamlag	p ɒ m l ɒ ɡ
pamut	p ɒ m u t
páncél	p aː n t͡s eː l
pancsol	p ɒ n t͡ʃ o l
pantalló	p ɒ n t ɒ lː oː
paci	p ɒ t͡s i
páciens	p aː t͡s i ɛ n ʃ
packa	p ɒ t͡s k ɒ
pacuha	p ɒ t͡s u h ɒ
pad	p ɒ d
pádimentum	p aː d i m ɛ n t u m
padlás	p ɒ d l aː ʃ
pagony	p ɒ ɡ o ɲ
páhog	p aː h o ɡ
páholy	p aː h o j
pajkos	p ɒ j k o ʃ
pajta	p ɒ j t ɒ
pap	p ɒ p
papa	p ɒ p ɒ
papagáj	p ɒ p ɒ ɡ aː j
pápaszem	p aː p ɒ s ɛ m
papír	p ɒ p iː r
papiros	p ɒ p i r o ʃ
paprika	p ɒ p r i k ɒ
pár	p aː r
pára	p aː r ɒ
parádé	p ɒ r aː d eː
paráhol	p ɒ r aː h o l
parancsol	p ɒ r ɒ n t͡ʃ o l
parányi	p ɒ r aː ɲ i
paraplé	p ɒ r ɒ p l eː
paraszt	p ɒ r ɒ s t
parázna	p ɒ r aː z n ɒ
parazoly	p ɒ r ɒ z o j
parázs	p ɒ r aː ʒ
paríroz	p ɒ r iː r o z
párkány	p aː r k aː ɲ
parlag	p ɒ r l ɒ ɡ
párna	p aː r n ɒ
parókia	p ɒ r oː k i ɒ
part	p ɒ r t
párt	p aː r t
parti	p ɒ r t i
pasasér	p ɒ ʃ ɒ ʃ eː r
paskol	p ɒ ʃ k o l
paszkonca	p ɒ s k o n t͡s ɒ
pászma	p aː s m ɒ
paszomány	p ɒ s o m aː ɲ
passzíroz	p ɒ sː iː r o z
pászta	p aː s t ɒ
pasztilla	p ɒ s t i lː ɒ
pásztor	p aː s t o r
paszuly	p ɒ s u j
pata	p ɒ t ɒ
patak	p ɒ t ɒ k
patália	p ɒ t aː l i ɒ
patél	p ɒ t eː l
patika	p ɒ t i k ɒ
pating	p ɒ t i n ɡ
patkány	p ɒ t k aː ɲ
patron	p ɒ t r o n
pattan	p ɒ tː ɒ n
patvar	p ɒ t v ɒ r
patyókál	p ɒ c oː k aː l
patyolat	p ɒ c o l ɒ t
páva	p aː v ɒ
pázsit	p aː ʒ i t
pecér	p ɛ t͡s eː r
pecsenye	p ɛ t͡ʃ ɛ ɲ ɛ
pedagógus	p ɛ d ɒ ɡ oː ɡ u ʃ
pedig	p ɛ d i ɡ
pedz	p ɛ d͡z
pej	p ɛ j
pejsli	p ɛ j ʃ l i
pék	p eː k
példa	p eː l d ɒ
pele	p ɛ l ɛ
pelikán	p ɛ l i k aː n
pemete	p ɛ m ɛ t ɛ
pempő	p ɛ m p øː
pemzli	p ɛ m z l i
pendely	p ɛ n d ɛ j
penderedik	p ɛ n d ɛ r ɛ d i k
pendít	p ɛ n d iː t
penge	p ɛ n ɡ ɛ
penicilus	p ɛ n i t͡s i l u ʃ
penna	p ɛ nː ɒ
péntek	p eː n t ɛ k
pénz	p eː n z
pép	p eː p
perc	p ɛ r t͡s
percen	p ɛ r t͡s ɛ n
perec	p ɛ r ɛ t͡s
perem	p ɛ r ɛ m
pereputty	p ɛ r ɛ p u cː
perpatvar	p ɛ r p ɒ t v ɒ r
persely	p ɛ r ʃ ɛ j
perszóna	p ɛ r s oː n ɒ
pertu	p ɛ r t u
perzsel	p ɛ r ʒ ɛ l
peshed	p ɛ ʃ h ɛ d
pest	p ɛ ʃ t
peszterkedik	p ɛ s t ɛ r k ɛ d i k
pete	p ɛ t ɛ
petyhüdt	p ɛ c h y d t
pezsdül	p ɛ ʒ d y l
piac	p i ɒ t͡s
piál	p i aː l
piciny	p i t͡s i ɲ
picsa	p i t͡ʃ ɒ
pih	p i h
pihen	p i h ɛ n
pikáns	p i k aː n ʃ
pikkely	p i kː ɛ j
pikoló	p i k o l oː
pikula	p i k u l ɒ
pilácsol	p i l aː t͡ʃ o l
pilács	p i l aː t͡ʃ
pilinga	p i l i n ɡ ɒ
pilla	p i lː ɒ
pillangó	p i lː ɒ n ɡ oː
pille	p i lː ɛ
pillér	p i lː eː r
pimasz	p i m ɒ s
pina	p i n ɒ
pince	p i n t͡s ɛ
pingál	p i n ɡ aː l
pingvin	p i n ɡ v i n
pintli	p i n t l i
pinty	p i n c
pípes	p iː p ɛ ʃ
pipi	p i p i
pirít	p i r iː t
pirók	p i r oː k
pirong	p i r o n ɡ
piros	p i r o ʃ
pirula	p i r u l ɒ
pisil	p i ʃ i l
pisa	p i ʃ ɒ
pislog	p i ʃ l o ɡ
pisze	p i s ɛ
piszkál	p i s k aː l
piszli	p i s l i
piszlicsár	p i s l i t͡ʃ aː r
piszmog	p i s m o ɡ
piszkol	p i s k o l
pisszeg	p i sː ɛ ɡ
pisztoly	p i s t o j
pitizik	p i t i z i k
pityipalkó	p i c i p ɒ l k oː
pitymallik	p i c m ɒ lː i k
pityóka	p i c oː k ɒ
pivó	p i v oː
placc	p l ɒ t͡sː
plágál	p l aː ɡ aː l
plajbász	p l ɒ j b aː s
pláne	p l aː n ɛ
planéta	p l ɒ n eː t ɒ
platni	p l ɒ t n i
pletyka	p l ɛ c k ɒ
plundra	p l u n d r ɒ
poc	p o t͡s
pocegér	p o t͡s ɛ ɡ eː r
pocséta	p o t͡ʃ eː t ɒ
pocsolya	p o t͡ʃ o j ɒ
pofa	p o f ɒ
pogány	p o ɡ aː ɲ
pogonya	p o ɡ o ɲ ɒ
pohár	p o h aː r
pók	p oː k
pokróc	p o k r oː t͡s
polc	p o l t͡s
polgár	p o l ɡ aː r
poloska	p o l o ʃ k ɒ
pomagránát	p o m ɒ ɡ r aː n aː t
pomána	p o m aː n ɒ
poncol	p o n t͡s o l
ponk	p o n k
pont	p o n t
popó	p o p oː
por	p o r
pór	p oː r
póráz	p oː r aː z
porcog	p o r t͡s o ɡ
porcan	p o r t͡s ɒ n
porgolát	p o r ɡ o l aː t
porhanyó	p o r h ɒ ɲ oː
porond	p o r o n d
porta	p o r t ɒ
portéka	p o r t eː k ɒ
poshad	p o ʃ h ɒ d
posta	p o ʃ t ɒ
posvány	p o ʃ v aː ɲ
poszog	p o s o ɡ
poszt	p o s t
potyára	p o c aː r ɒ
potyol	p o c o l
pozdorja	p o z d o r j ɒ
pózna	p oː z n ɒ
pozsgás	p o ʒ ɡ aː ʃ
pöcs	p ø t͡ʃ
pőcsik	p øː t͡ʃ i k
pöfeteg	p ø f ɛ t ɛ ɡ
pöfög	p ø f ø ɡ
pőre	p øː r ɛ
pörköl	p ø r k ø l
pracli	p r ɒ t͡s l i
pranda	p r ɒ n d ɒ
precíz	p r ɛ t͡s iː z
prém	p r eː m
presbiter	p r ɛ ʃ b i t ɛ r
pribék	p r i b eː k
primitív	p r i m i t iː v
prizma	p r i z m ɒ
próbál	p r oː b aː l
produkál	p r o d u k aː l
prósza	p r oː s ɒ
pruszlik	p r u s l i k
prüszköl	p r y s k ø l
publikán	p u b l i k aː n
puca	p u t͡s ɒ
pucol	p u t͡s o l
púder	p uː d ɛ r
puha	p u h ɒ
puliszka	p u l i s k ɒ
pulya	p u j ɒ
pulyka	p u j k ɒ
punktum	p u n k t u m
pupák	p u p aː k
pupdenevér	p u p d ɛ n ɛ v eː r
pupilla	p u p i lː ɒ
purdé	p u r d eː
purga	p u r ɡ ɒ
purgelejt	p u r ɡ ɛ l ɛ j t
puruttya	p u r u cː ɒ
pusmog	p u ʃ m o ɡ
puszta	p u s t ɒ
puzdra	p u z d r ɒ
púzsa	p uː ʒ ɒ
puzsér	p u ʒ eː r
püffed	p y fː ɛ d
rá	r aː
rab	r ɒ b
rabota	r ɒ b o t ɒ
rabszolga	r ɒ b s o l ɡ ɒ
ráció	r aː t͡s i oː
rács	r aː t͡ʃ
rádió	r aː d i oː
rafinált	r ɒ f i n aː l t
rág	r aː ɡ
ragad	r ɒ ɡ ɒ d
ragya	r ɒ ɟ ɒ
ragyiva	r ɒ ɟ i v ɒ
rajong	r ɒ j o n ɡ
rajzol	r ɒ j z o l
rak	r ɒ k
rakonca	r ɒ k o n t͡s ɒ
ráma	r aː m ɒ
ramazúri	r ɒ m ɒ z uː r i
rámol	r aː m o l
ránc	r aː n t͡s
randalírozik	r ɒ n d ɒ l iː r o z i k
ránt	r aː n t
ravasz	r ɒ v ɒ s
ravatal	r ɒ v ɒ t ɒ l
ráz	r aː z
rebeg	r ɛ b ɛ ɡ
rece	r ɛ t͡s ɛ
réce	r eː t͡s ɛ
receg	r ɛ t͡s ɛ ɡ
receptum	r ɛ t͡s ɛ p t u m
redel	r ɛ d ɛ l
redves	r ɛ d v ɛ ʃ
referál	r ɛ f ɛ r aː l
reflektál	r ɛ f l ɛ k t aː l
reformál	r ɛ f o r m aː l
reg	r ɛ ɡ
rég	r eː ɡ
rege	r ɛ ɡ ɛ
regiment	r ɛ ɡ i m ɛ n t
regnál	r ɛ ɡ n aː l
regula	r ɛ ɡ u l ɒ
réja	r eː j ɒ
rejt	r ɛ j t
rekeg	r ɛ k ɛ ɡ
rekesz	r ɛ k ɛ s
rektor	r ɛ k t o r
remeg	r ɛ m ɛ ɡ
remek	r ɛ m ɛ k
remél	r ɛ m eː l
remese	r ɛ m ɛ ʃ ɛ
remonda	r ɛ m o n d ɒ
rémül	r eː m y l
rend	r ɛ n d
reng	r ɛ n ɡ
rengeteg	r ɛ n ɡ ɛ t ɛ ɡ
rénszarvas	r eː n s ɒ r v ɒ ʃ
renyhe	r ɛ ɲ h ɛ
répa	r eː p ɒ
repcsény	r ɛ p t͡ʃ eː ɲ
reped	r ɛ p ɛ d
repül	r ɛ p y l
rér	r eː r
respublika	r ɛ ʃ p u b l i k ɒ
rest	r ɛ ʃ t
rész	r eː s
részeg	r eː s ɛ ɡ
reszel	r ɛ s ɛ l
reszket	r ɛ s k ɛ t
rét	r eː t
réteg	r eː t ɛ ɡ
retek	r ɛ t ɛ k
retesz	r ɛ t ɛ s
retten	r ɛ tː ɛ n
retúr	r ɛ t uː r
rév	r eː v
révén	r eː v eː n
reves	r ɛ v ɛ ʃ
rez	r ɛ z
réz	r eː z
rezzeszt	r ɛ zː ɛ s t
rí	r iː
riaszt	r i ɒ s t
riaszkodik	r i ɒ s k o d i k
ribanc	r i b ɒ n t͡s
richtig	r i h t i ɡ
rideg	r i d ɛ ɡ
rigli	r i ɡ l i
rigya	r i ɟ ɒ
rikácsol	r i k aː t͡ʃ o l
rikít	r i k iː t
rima	r i m ɒ
ringyó	r i n ɟ oː
ripacs	r i p ɒ t͡ʃ
ripszropsz	r i p s r o p s
riska	r i ʃ k ɒ
riszál	r i s aː l
ritka	r i t k ɒ
rivakodik	r i v ɒ k o d i k
rivall	r i v ɒ lː
ró	r oː
robog	r o b o ɡ
roh	r o h
rohad	r o h ɒ d
rohan	r o h ɒ n
rohog	r o h o ɡ
róka	r oː k ɒ
rokk	r o kː
rokka	r o kː ɒ
rokkan	r o kː ɒ n
rokolya	r o k o j ɒ
rokon	r o k o n
rombol	r o m b o l
romlik	r o m l i k
róna	r oː n ɒ
roncos	r o n t͡s o ʃ
roncsol	r o n t͡ʃ o l
ronda	r o n d ɒ
rongál	r o n ɡ aː l
rongyos	r o n ɟ o ʃ
rop	r o p
ropp	r o pː
roppant	r o pː ɒ n t
roshad	r o ʃ h ɒ d
roskad	r o ʃ k ɒ d
rost	r o ʃ t
rosta	r o ʃ t ɒ
rossz	r o sː
rosszmájú	r o sː m aː j uː
róta	r oː t ɒ
rothad	r o t h ɒ d
rotyog	r o c o ɡ
rovar	r o v ɒ r
rozzant	r o zː ɒ n t
rozs	r o ʒ
rózsa	r oː ʒ ɒ
rózsaszínű	r oː ʒ ɒ s iː n yː
rög	r ø ɡ
rögtön	r ø ɡ t ø n
röhög	r ø h ø ɡ
rökönyül	r ø k ø ɲ y l
röstöl	r ø ʃ t ø l
rövid	r ø v i d
rubrika	r u b r i k ɒ
ruca	r u t͡s ɒ
ruccan	r u t͡sː ɒ n
rúg	r uː ɡ
ruha	r u h ɒ
rukkol	r u kː o l
rumli	r u m l i
rusnya	r u ʃ ɲ ɒ
rút	r uː t
rúzs	r uː ʒ
rücsköl	r y t͡ʃ k ø l
rücsök	r y t͡ʃ ø k
rügy	r y ɟ
rüh	r y h
satu	ʃ ɒ t u
seb	ʃ ɛ b
sebes	ʃ ɛ b ɛ ʃ
séd	ʃ eː d
sédó	ʃ eː d oː
seft	ʃ ɛ f t
ség	ʃ eː ɡ
segéd	ʃ ɛ ɡ eː d
segg	ʃ ɛ ɡː
sejdít	ʃ ɛ j d iː t
sekély	ʃ ɛ k eː j
selejt	ʃ ɛ l ɛ j t
sem	ʃ ɛ m
semlyék	ʃ ɛ m j eː k
semmi	ʃ ɛ mː i
senki	ʃ ɛ n k i
senyved	ʃ ɛ ɲ v ɛ d
serény	ʃ ɛ r eː ɲ
serít	ʃ ɛ r iː t
serke	ʃ ɛ r k ɛ
serleg	ʃ ɛ r l ɛ ɡ
serpenyő	ʃ ɛ r p ɛ ɲ øː
sért	ʃ eː r t
serte	ʃ ɛ r t ɛ
sertés	ʃ ɛ r t eː ʃ
sérvés	ʃ eː r v eː ʃ
siet	ʃ i ɛ t
sablon	ʃ ɒ b l o n
sáf	ʃ aː f
safarina	ʃ ɒ f ɒ r i n ɒ
ság	ʃ aː ɡ
sája	ʃ aː j ɒ
saját	ʃ ɒ j aː t
sajdít	ʃ ɒ j d iː t
sajka	ʃ ɒ j k ɒ
sajnál	ʃ ɒ j n aː l
sajnos	ʃ ɒ j n o ʃ
sajt	ʃ ɒ j t
sál	ʃ aː l
salapál	ʃ ɒ l ɒ p aː l
salavári	ʃ ɒ l ɒ v aː r i
sanzon	ʃ ɒ n z o n
sanyargat	ʃ ɒ ɲ ɒ r ɡ ɒ t
sápad	ʃ aː p ɒ d
sapka	ʃ ɒ p k ɒ
sár	ʃ aː r
sarabol	ʃ ɒ r ɒ b o l
sarcol	ʃ ɒ r t͡s o l
sárga	ʃ aː r ɡ ɒ
sarkall	ʃ ɒ r k ɒ lː
sárkány	ʃ aː r k aː ɲ
sarló	ʃ ɒ r l oː
sarzsi	ʃ ɒ r ʒ i
sas	ʃ ɒ ʃ
sáska	ʃ aː ʃ k ɒ
sík	ʃ iː k
sikár	ʃ i k aː r
sikátor	ʃ i k aː t o r
sikattyú	ʃ i k ɒ cː uː
sikér	ʃ i k eː r
sikkaszt	ʃ i kː ɒ s t
sikolt	ʃ i k o l t
silabizál	ʃ i l ɒ b i z aː l
silány	ʃ i l aː ɲ
silbak	ʃ i l b ɒ k
sima	ʃ i m ɒ
simul	ʃ i m u l
sinkófál	ʃ i n k oː f aː l
síp	ʃ iː p
sipőc	ʃ i p øː t͡s
